Id,Predicted
candidate11,5.16E-01
candidate13,9.96E-01
candidate15,5.17E-01
candidate17,9.94E-01
candidate22,5.02E-01
candidate26,5.64E-01
candidate33,5.53E-01
candidate40,6.82E-01
candidate42,9.04E-01
candidate49,5.10E-01
candidate56,5.02E-01
candidate59,9.78E-01
candidate60,4.90E-01
candidate68,5.06E-01
candidate75,9.08E-01
candidate76,5.10E-01
candidate77,5.04E-01
candidate79,5.06E-01
candidate85,5.13E-01
candidate99,9.42E-01
candidate100,5.23E-01
candidate103,5.78E-01
candidate107,5.55E-01
candidate108,9.75E-01
candidate112,8.47E-01
candidate116,5.31E-01
candidate117,5.30E-01
candidate118,8.88E-01
candidate128,9.45E-01
candidate129,5.96E-01
candidate132,6.40E-01
candidate137,5.34E-01
candidate144,9.16E-01
candidate146,5.06E-01
candidate149,6.32E-01
candidate165,8.06E-01
candidate167,8.65E-01
candidate170,5.80E-01
candidate174,5.99E-01
candidate178,4.36E-01
candidate189,9.92E-01
candidate191,6.89E-01
candidate194,9.48E-01
candidate195,5.42E-01
candidate197,5.09E-01
candidate201,5.29E-01
candidate204,9.94E-01
candidate223,6.97E-01
candidate239,9.98E-01
candidate251,4.88E-01
candidate252,6.09E-01
candidate259,7.77E-01
candidate264,9.52E-01
candidate268,5.08E-01
candidate274,1.00E+00
candidate275,5.23E-01
candidate278,6.28E-01
candidate284,9.95E-01
candidate286,9.98E-01
candidate290,9.98E-01
candidate300,5.57E-01
candidate301,4.95E-01
candidate302,5.07E-01
candidate309,5.39E-01
candidate312,5.10E-01
candidate329,5.08E-01
candidate333,9.87E-01
candidate344,5.29E-01
candidate346,4.92E-01
candidate348,9.68E-01
candidate354,9.99E-01
candidate357,5.04E-01
candidate360,7.00E-01
candidate363,5.92E-01
candidate368,1.00E+00
candidate373,5.76E-01
candidate384,9.91E-01
candidate390,9.89E-01
candidate394,5.26E-01
candidate396,6.10E-01
candidate397,5.47E-01
candidate398,5.86E-01
candidate402,4.98E-01
candidate403,5.84E-01
candidate412,5.16E-01
candidate424,4.96E-01
candidate427,5.03E-01
candidate431,5.40E-01
candidate439,8.22E-01
candidate440,5.01E-01
candidate450,9.14E-01
candidate451,6.43E-01
candidate455,1.00E+00
candidate456,4.96E-01
candidate458,5.04E-01
candidate459,5.24E-01
candidate463,8.64E-01
candidate466,9.38E-01
candidate483,9.70E-01
candidate486,6.35E-01
candidate489,5.28E-01
candidate491,9.98E-01
candidate493,9.99E-01
candidate498,5.10E-01
candidate499,5.58E-01
candidate502,4.94E-01
candidate509,9.79E-01
candidate513,5.70E-01
candidate524,9.38E-01
candidate530,9.77E-01
candidate544,5.73E-01
candidate556,9.75E-01
candidate563,5.56E-01
candidate564,9.85E-01
candidate565,8.04E-01
candidate580,5.25E-01
candidate582,5.06E-01
